customer_id,name,email,signup_date,country,segment_id,segment_name,rfm_recency,rfm_frequency,rfm_monetary,total_touchpoints,avg_sentiment,churn_probability,lifetime_value
CUST-00001,Allison Hill,donaldgarcia@example.net,2025-07-21,US,3,Hibernating,126,3,97.01,49,-0.176,0.709,253.7
CUST-00002,Javier Johnson,jesseguzman@example.net,2024-01-29,US,3,Hibernating,259,1,185.34,7,-0.138,0.842,176.64
CUST-00003,Meredith Barnes,zlawrence@example.org,2023-11-30,AU,2,At Risk,63,7,418.43,36,-0.159,0.431,3203.35
CUST-00004,Gina Moore,curtis61@example.com,2024-09-11,US,2,At Risk,95,3,1174.39,29,0.295,0.511,3657.67
CUST-00005,Renee Blair,dudleynicholas@example.net,2024-06-24,UK,1,Loyal Customers,58,9,383.98,24,0.383,0.163,4814.81
CUST-00006,Lisa Hensley,janetwilliams@example.org,2024-06-18,ID,3,Hibernating,326,1,224.32,26,-0.416,0.683,191.83
CUST-00007,Dr. Sharon James,xreid@example.org,2024-10-22,AU,1,Loyal Customers,50,9,1239.23,4,0.56,0.0,14085.04
CUST-00008,Michael Miles,lynchgeorge@example.net,2024-04-10,UK,3,Hibernating,140,1,262.62,31,-0.731,0.675,326.96
CUST-00009,James Mayo,gabriellecameron@example.org,2024-03-16,US,2,At Risk,107,5,432.83,45,-0.353,0.475,2713.03
CUST-00010,Renee Morales,clarksherri@example.net,2024-07-27,US,3,Hibernating,163,3,224.16,26,-0.527,0.607,665.06
CUST-00011,Jonathan Wilkerson,ithomas@example.org,2025-08-15,JP,4,New Customers,18,1,351.77,5,0.666,0.182,337.82
CUST-00012,Nicole Patterson,icox@example.net,2025-05-01,US,0,Champions,11,14,1704.83,38,0.717,0.0,33735.86
CUST-00013,Anthony Rodriguez,laurahenderson@example.org,2024-11-13,BR,1,Loyal Customers,51,11,912.14,31,0.364,0.129,9030.29
CUST-00014,Zachary Rice,frazierdanny@example.net,2024-05-14,DE,1,Loyal Customers,57,12,1170.16,29,0.212,0.15,20058.55
CUST-00015,Gina Carter,shawnmckay@example.net,2024-05-09,US,2,At Risk,88,4,837.86,5,-0.25,0.427,4701.31
CUST-00016,Pamela Romero,harrellkenneth@example.net,2025-05-23,UK,1,Loyal Customers,20,10,1273.54,40,0.35,0.268,19068.52
CUST-00017,Brittany Farmer,georgetracy@example.org,2024-10-10,US,2,At Risk,130,3,1068.38,36,-0.103,0.365,4248.78
CUST-00018,Sandra Parker,allenashley@example.org,2023-08-07,US,3,Hibernating,207,1,102.18,2,-0.094,0.622,149.97
CUST-00019,Rose Spence,davidalvarez@example.net,2023-12-08,US,4,New Customers,9,1,268.61,42,0.352,0.043,271.0
CUST-00020,Shane Henderson,sarahcampos@example.net,2024-02-02,DE,3,Hibernating,275,1,62.79,36,-0.632,0.736,92.14
CUST-00021,Jennifer Powers,samuel87@example.org,2024-04-15,US,4,New Customers,1,2,259.64,25,0.485,0.214,734.84
CUST-00022,George Chapman,briannasmith@example.net,2025-12-01,JP,3,Hibernating,198,1,36.22,7,-0.329,0.696,31.15
CUST-00023,Austin Johnson,chad34@example.net,2025-04-19,US,2,At Risk,68,7,1183.88,32,-0.47,0.392,12122.41
CUST-00024,Carlos Walls,esanchez@example.com,2024-01-16,BR,1,Loyal Customers,43,10,1935.85,50,0.385,0.205,25378.06
CUST-00025,Matthew Gomez,uowens@example.org,2026-02-05,AU,1,Loyal Customers,29,10,1991.27,30,0.586,0.0,28469.78
CUST-00026,Maria Brown,lauren13@example.org,2024-01-16,US,2,At Risk,91,4,236.43,37,-0.019,0.419,908.91
