lead_id,name,email,company,industry,lead_source,lead_score,engagement_score,page_views,email_opens,time_on_site_minutes,converted,conversion_probability,days_in_pipeline,last_activity_date
LEAD-00001,Robert Olson,traciwalls@mitchell-bryan.info,"Mills, Ferguson and Moreno",Healthcare,content_download,11.0,29.3,39,9,36.6,False,0.262,50,2026-02-11
LEAD-00002,Christopher Perez,prestonsheila@carlson.com,Andrews Ltd,Education,content_download,7.1,8.3,27,2,8.7,False,0.064,49,2026-02-11
LEAD-00003,Erin Johnson,brittany38@sampson.com,Young-Miller,E-commerce,social,23.7,19.0,40,20,35.6,False,0.187,27,2026-03-19
LEAD-00004,Eric Greene,dpayne@cervantes-guerra.org,Doyle LLC,Retail,content_download,55.9,38.2,16,3,34.8,False,0.588,51,2026-03-08
LEAD-00005,Jason George,timothybell@banks.com,"Sanchez, Vasquez and Williams",Fintech,demo_request,13.8,44.0,29,10,18.1,False,0.172,39,2026-03-15
LEAD-00006,Tracy Williamson,dennisdarrell@davis.com,Esparza-Mann,Education,paid_search,31.9,32.8,38,1,26.4,False,0.569,9,2026-01-26
LEAD-00007,Daniel Rodriguez,emily96@smith-williams.com,Johnson-Tanner,Manufacturing,referral,21.9,29.6,26,6,44.9,False,0.305,8,2026-02-14
LEAD-00008,Tamara Murphy MD,ljackson@brown-bradley.com,Paul-Anderson,Retail,paid_search,25.4,21.9,25,4,32.1,False,0.297,16,2026-03-04
LEAD-00009,Timothy Hall,ddavis@ashley.info,Vazquez Inc,SaaS,social,6.1,26.8,44,2,17.8,False,0.152,8,2026-03-25
LEAD-00010,Elizabeth Marshall,brandon19@walsh.org,"Smith, Skinner and Sherman",Media,webinar,42.2,64.7,30,20,3.0,False,0.464,39,2026-02-27
LEAD-00011,Jeremy Stokes,eric63@george-miller.biz,Ward LLC,E-commerce,organic_search,36.7,75.5,14,20,16.7,False,0.375,26,2026-02-05
LEAD-00012,Tony Hernandez,lindakaufman@mendoza-davis.biz,Nguyen-Henderson,Media,content_download,5.7,4.0,41,20,11.5,False,0.0,54,2026-02-11
LEAD-00013,Christopher Lee,salexander@beck.com,Ruiz-Jimenez,Manufacturing,paid_search,46.7,57.7,31,20,40.0,False,0.608,77,2026-02-13
LEAD-00014,Micheal Shields,rbenson@martin-mercer.com,"Marshall, Durham and Weber",Manufacturing,webinar,59.6,47.1,48,17,18.0,False,0.563,59,2026-03-17
LEAD-00015,Michelle Morales,coreyarellano@glenn-wilson.com,Martin-Baker,Media,content_download,44.6,34.9,4,10,16.5,False,0.483,67,2026-02-10
LEAD-00016,Robert Collins,olivia67@jones.com,Jones-Figueroa,SaaS,referral,34.4,35.8,6,5,31.4,False,0.301,78,2026-02-20
LEAD-00017,Steven Smith,umorales@conway-stewart.com,"Bell, Yang and Smith",Retail,webinar,5.2,0.0,49,19,41.9,False,0.08,42,2026-02-19
LEAD-00018,Bryan Hooper,fitzpatrickrichard@murray.com,Santos Inc,Education,content_download,6.7,0.0,36,5,43.8,False,0.247,62,2026-02-06
LEAD-00019,Calvin Lewis,mercedesortega@welch.com,Hanna Group,SaaS,organic_search,14.2,0.0,43,4,26.0,False,0.268,28,2026-03-24
LEAD-00020,Troy Henderson,johnsonashley@hampton.com,Foley-Harrington,E-commerce,paid_search,6.1,0.0,9,12,23.2,False,0.0,25,2026-01-31
LEAD-00021,Shelley Tran,melissajones@berg-harris.com,Horne-Zimmerman,Media,demo_request,16.8,6.5,17,13,1.4,False,0.209,9,2026-02-01
LEAD-00022,Dawn Lutz,natalie66@hill.com,Perez Inc,Healthcare,referral,40.4,20.1,49,17,38.1,False,0.425,37,2026-03-08
LEAD-00023,Sonya Martinez,hoganroberto@green.org,Davis-Miles,E-commerce,social,18.6,36.5,32,15,4.2,False,0.292,18,2026-03-26
LEAD-00024,Douglas Norris,eflores@mitchell-scott.com,Garcia Group,E-commerce,webinar,14.6,0.0,18,5,31.7,False,0.067,83,2026-02-21
LEAD-00025,Emily Jordan,debbie41@vazquez.info,"Garcia, Walker and Craig",Manufacturing,organic_search,38.4,9.5,47,18,16.2,False,0.571,53,2026-03-08
LEAD-00026,Rachel Chen,pottsamy@williams.com,Adkins-Brown,E-commerce,referral,9.0,32.5,28,11,15.5,False,0.0,77,2026-03-21
LEAD-00027,Kelsey Riggs,daniel54@campbell.com,Park-Watson,Fintech,paid_search,32.3,25.2,15,11,16.6,False,0.105,17,2026-03-26
LEAD-00028,Jeffrey Morrison,davisronald@moore-bean.com,Wade Ltd,Manufacturing,webinar,7.3,0.0,32,0,39.2,False,0.3,56,2026-03-13
LEAD-00029,Emma King,popejason@miller.com,"Murphy, Sanders and Armstrong",Healthcare,organic_search,29.3,44.4,43,4,34.7,False,0.274,71,2026-03-10
LEAD-00030,Albert Oliver,annettemurphy@hurley.org,Shaw PLC,Fintech,webinar,46.0,34.0,15,7,16.4,False,0.56,19,2026-02-20
LEAD-00031,Christian Sanders,sandersjamie@obrien.biz,"Davis, Carlson and Hensley",Media,webinar,25.4,6.5,40,15,5.1,False,0.269,25,2026-01-29
LEAD-00032,Michelle Nielsen,fthompson@lucas.net,"Mcgee, Brown and Shaw",Manufacturing,demo_request,28.7,32.3,39,20,18.7,False,0.192,63,2026-02-14
LEAD-00033,Bryan Choi,stevensbrandi@taylor.com,Allen Inc,Fintech,referral,31.2,33.3,34,9,38.3,False,0.217,64,2026-02-12
LEAD-00034,John Taylor,summersjeanette@stone.biz,Coleman Ltd,Education,referral,38.4,42.3,18,11,14.8,False,0.416,59,2026-03-11
LEAD-00035,Tina Green,joshuathompson@erickson.info,Lyons LLC,Fintech,webinar,56.9,82.7,16,3,34.2,False,0.463,16,2026-02-12
LEAD-00036,Ashley Huang,alexanderking@gonzales.info,Rodriguez-Banks,Manufacturing,content_download,32.2,39.7,44,1,23.9,False,0.511,7,2026-03-11
LEAD-00037,Michael Roberts,brent59@alvarado.com,"Roman, Smith and Miranda",Media,social,30.3,25.5,26,9,36.9,False,0.275,45,2026-03-02
LEAD-00038,Ryan Sutton,zsnyder@lawson.com,Clark-Richards,SaaS,content_download,47.8,57.9,44,10,24.7,False,0.292,84,2026-03-11
LEAD-00039,Joseph Sims,ywoodward@anderson.com,Flores Inc,SaaS,social,39.9,62.3,34,0,5.3,False,0.417,72,2026-02-02
LEAD-00040,Daniel Rodriguez,xmurphy@williams.org,Blevins-Collier,Retail,referral,6.2,11.4,39,15,36.3,False,0.184,34,2026-02-22
LEAD-00041,Sherri Jackson,mackenziemartinez@chase.net,Floyd-Mills,Education,referral,21.7,9.9,28,2,26.7,False,0.128,58,2026-02-26
LEAD-00042,Shannon Wells,jamie13@smith-rose.com,"Humphrey, Benjamin and Harris",Retail,referral,38.9,62.9,13,12,35.5,False,0.582,38,2026-03-26
LEAD-00043,Danny Archer,vcabrera@lopez.com,"Cowan, Carlson and Griffin",Retail,demo_request,33.6,51.2,22,7,42.2,False,0.257,30,2026-03-03
LEAD-00044,David Schaefer,joseph98@buchanan.com,Little-Rollins,Education,demo_request,33.5,46.7,29,14,12.8,False,0.344,74,2026-03-09
LEAD-00045,Regina Stephens,walkerjason@lambert.com,Jackson-Kirby,Retail,paid_search,37.3,31.1,13,15,26.2,False,0.361,19,2026-02-25
LEAD-00046,Jeffrey Freeman,smithrobin@morris-harding.net,Dickerson LLC,Retail,paid_search,61.8,88.5,33,3,27.9,True,0.624,10,2026-03-20
LEAD-00047,Mary Maxwell,contreraslisa@pearson.com,Daniel PLC,Manufacturing,organic_search,54.7,58.6,12,6,22.1,False,0.496,27,2026-02-22
LEAD-00048,Kevin Tran Jr.,zachary53@jones-watson.com,Morris and Sons,Media,paid_search,40.3,27.1,19,10,2.7,False,0.367,22,2026-02-16
LEAD-00049,Jill Smith,fbutler@newman.biz,Cannon and Sons,E-commerce,webinar,32.2,23.9,19,0,14.7,False,0.293,82,2026-02-03
LEAD-00050,Richard Jones,gterry@cook.com,Harris-Wilson,SaaS,social,35.2,25.1,31,4,33.9,False,0.461,4,2026-02-13
LEAD-00051,Anthony Freeman,kaufmanalan@tucker.com,Perry PLC,Media,demo_request,25.4,39.0,42,18,19.5,False,0.214,77,2026-03-23
LEAD-00052,Anthony Smith,zachary07@drake.com,Cole-Schwartz,E-commerce,social,29.1,38.7,23,18,22.2,False,0.21,31,2026-02-07
LEAD-00053,Justin Huynh,dylankoch@brown-coleman.com,Johnston PLC,Retail,referral,19.0,10.0,2,18,24.2,False,0.177,41,2026-01-28
LEAD-00054,Steven Cruz,hweber@johnson.com,"Chandler, Howell and Woods",E-commerce,webinar,34.7,37.4,36,2,20.0,False,0.377,39,2026-03-25
LEAD-00055,David Dominguez,alex81@munoz.biz,"Heath, Pineda and Burgess",Media,content_download,29.7,16.5,15,12,19.9,False,0.35,27,2026-02-21
LEAD-00056,Gabriel Padilla,hollowayseth@ferrell-johnson.com,Brown-Rosario,Media,content_download,24.7,23.8,34,16,16.1,False,0.319,58,2026-03-02
LEAD-00057,Valerie Morse,robert40@cobb.info,Guzman-Carlson,Education,webinar,22.8,31.8,48,19,30.9,False,0.195,45,2026-02-18
LEAD-00058,William Jones,michelle14@bailey.net,Hughes Group,Manufacturing,referral,40.4,54.2,8,7,5.5,False,0.424,81,2026-01-27
LEAD-00059,Sarah Logan,stephanie54@scott.com,Johnson Ltd,Education,social,24.5,6.2,17,19,42.0,False,0.263,9,2026-03-07
LEAD-00060,Ian Hanson,nrice@dennis-nichols.info,Jackson-Sullivan,Retail,paid_search,7.9,40.8,37,10,8.6,False,0.083,62,2026-02-22
LEAD-00061,Kristen Jacobs DVM,ucoleman@henderson-miller.com,"Williams, Ruiz and Rivera",Education,referral,12.9,25.3,31,15,12.9,False,0.317,57,2026-02-02
LEAD-00062,Jonathon Jackson,sparkspatrick@maldonado.com,"Leonard, Richardson and Rivera",Fintech,organic_search,26.8,26.1,10,7,23.1,False,0.186,66,2026-01-28
LEAD-00063,Brian Bentley,eparrish@scott-chen.com,Avery-Washington,Media,referral,20.6,12.4,24,12,40.7,False,0.12,10,2026-03-04
LEAD-00064,Sabrina Whitaker,garretthannah@frank.com,Silva Group,E-commerce,webinar,46.0,26.8,49,18,37.6,False,0.612,61,2026-03-12
LEAD-00065,Jack Richmond,gutierrezjonathan@ramirez-wheeler.com,Juarez-Schneider,Manufacturing,social,48.9,47.9,32,18,39.2,False,0.508,69,2026-03-25
LEAD-00066,Catherine Vega,davidamy@romero.com,Shields Ltd,Healthcare,paid_search,31.6,25.9,47,5,36.7,False,0.345,6,2026-02-07
LEAD-00067,Patrick Becker,mmahoney@moore.com,"Davis, Villarreal and Sexton",SaaS,organic_search,18.6,30.8,21,18,1.0,False,0.281,37,2026-02-24
LEAD-00068,Susan Johnston,andrew09@collins.net,Prince-Young,Manufacturing,content_download,22.7,15.3,8,14,10.7,False,0.252,42,2026-03-23
LEAD-00069,Paul Castro,pcastro@walton-mendoza.info,Lang-Nash,Manufacturing,social,39.1,45.5,3,10,33.0,False,0.525,9,2026-03-12
LEAD-00070,Jodi Williams,joshuahernandez@hart.info,Henderson PLC,Healthcare,social,49.2,57.2,20,5,13.4,False,0.458,17,2026-03-22
LEAD-00071,Jeremy Roman,zcoleman@holt.org,Guzman LLC,Media,organic_search,53.8,26.9,9,6,27.6,False,0.459,32,2026-02-10
LEAD-00072,David Peterson,danielgraham@crawford.com,Walton-West,SaaS,demo_request,25.2,37.4,49,13,15.5,False,0.257,26,2026-03-22
LEAD-00073,Mark Singleton,ngross@garza.info,Stanley LLC,Healthcare,content_download,77.2,78.0,24,19,42.5,True,0.847,41,2026-03-10
LEAD-00074,John Summers,nelsonmichael@singleton-mcdonald.com,Costa Ltd,SaaS,webinar,31.6,54.6,26,5,22.9,False,0.366,16,2026-01-27
LEAD-00075,Heather Estes,christine09@dean.com,Wood Ltd,Retail,organic_search,23.0,11.7,34,15,25.4,False,0.408,81,2026-02-16
LEAD-00076,Travis Adams DDS,michael57@dunlap-ayers.biz,Allen LLC,Manufacturing,content_download,16.0,36.8,31,16,29.5,False,0.19,71,2026-02-21
LEAD-00077,April Conway,anthony95@deleon.info,Ruiz Ltd,Fintech,demo_request,42.2,52.1,45,15,44.3,False,0.373,60,2026-03-12
LEAD-00078,Mario Dominguez,thomasarmstrong@romero.net,"Ritter, Skinner and Boyer",Retail,paid_search,23.8,30.4,4,18,42.0,False,0.084,59,2026-03-08
LEAD-00079,Allison Ortiz,ishepherd@french.info,Maldonado-Torres,Healthcare,webinar,16.5,7.0,42,16,32.8,False,0.125,56,2026-03-19
LEAD-00080,Tanner Greene,james50@horne.biz,Reynolds and Sons,Retail,organic_search,71.5,63.6,37,15,29.8,False,0.604,64,2026-03-13
LEAD-00081,Richard Becker III,travis64@cooley.biz,"Cook, Bond and Parks",Manufacturing,social,40.0,37.4,1,1,31.0,False,0.2,38,2026-02-11
LEAD-00082,Christopher Johnson,wobrien@austin-moreno.info,"Hicks, Clark and Mendoza",Education,social,13.9,7.5,43,1,20.2,False,0.066,18,2026-01-30
LEAD-00083,Arthur Lewis,mallory90@clark.com,Thompson Group,Retail,paid_search,37.8,32.0,40,0,31.0,False,0.373,3,2026-03-22
LEAD-00084,Casey Deleon,connor01@gray.org,"Wilson, Newman and Thompson",Media,webinar,25.1,22.3,15,5,31.2,False,0.334,19,2026-02-24
LEAD-00085,Dennis Wright,danielsangela@bullock.org,Davis-Miller,Retail,social,53.0,43.8,10,14,23.5,False,0.503,45,2026-02-09
LEAD-00086,Colin Hall,haneycarrie@riggs-frazier.org,Moore-Berry,Healthcare,organic_search,69.8,65.2,22,19,14.0,True,0.772,11,2026-02-23
LEAD-00087,Kristin Clark,rhoward@mcclure.net,Cruz-Wells,Manufacturing,referral,33.5,59.1,32,3,3.5,False,0.245,57,2026-03-13
LEAD-00088,Mark Soto,brian30@white.com,Johnston-Cervantes,Manufacturing,paid_search,41.7,59.3,38,17,37.9,False,0.316,57,2026-03-05
LEAD-00089,Anthony Skinner,james67@obrien.com,"Schroeder, Dixon and Vazquez",Fintech,social,12.6,0.0,41,10,25.1,False,0.082,76,2026-02-08
LEAD-00090,Justin Murray,plawrence@dixon.com,"Miller, Jackson and Rose",Media,content_download,8.8,48.4,3,16,30.4,False,0.192,39,2026-03-09
LEAD-00091,Jonathan Castillo,ykramer@miller.com,"Bennett, Oliver and Bauer",SaaS,referral,23.4,10.1,22,10,34.5,False,0.33,89,2026-02-25
LEAD-00092,Paul Garcia,todd18@taylor.com,Jones-Huang,SaaS,social,3.7,16.5,13,12,15.6,False,0.065,81,2026-03-11
LEAD-00093,Lacey Taylor,john37@mcneil.biz,Kim-Leblanc,Media,paid_search,23.6,26.8,28,16,10.2,False,0.331,80,2026-02-23
LEAD-00094,Courtney Howard,millerjason@orr.com,Khan Ltd,Manufacturing,organic_search,9.9,10.7,50,14,33.5,False,0.0,4,2026-02-26
LEAD-00095,Jaclyn Ramos,stephaniedavis@woods.com,"Terry, Jones and Beck",Manufacturing,organic_search,55.4,91.1,13,1,18.7,False,0.586,54,2026-03-11
LEAD-00096,Connor Stein,bward@duarte-smith.com,"Fitzpatrick, Bolton and Horn",Media,paid_search,29.0,30.5,5,4,24.3,False,0.193,41,2026-03-10
LEAD-00097,Daniel Bass,qshepherd@miller.com,"Ibarra, Roberts and Jackson",Retail,webinar,13.1,0.0,16,17,20.5,False,0.16,4,2026-02-10
LEAD-00098,Robert Arnold,samanthamoore@byrd.biz,Clark Group,Fintech,referral,33.3,24.9,34,10,10.5,False,0.392,73,2026-02-27
LEAD-00099,Michael Simmons,pbrown@wyatt-daugherty.com,Peterson Ltd,Fintech,organic_search,36.1,34.3,19,18,8.1,False,0.204,11,2026-01-30
LEAD-00100,Sandra Miller,mcknightantonio@morgan-miller.com,"Sanchez, Jones and Rodriguez",Healthcare,referral,7.7,7.5,7,15,11.2,False,0.109,55,2026-02-26
LEAD-00101,Susan Hayden,jbrown@sullivan-deleon.com,Barajas-Lawson,Healthcare,webinar,7.1,0.0,3,16,17.1,False,0.0,28,2026-03-07
LEAD-00102,Garrett Durham,nicholas57@smith-nelson.com,Morales-Green,SaaS,referral,41.8,48.9,36,8,30.9,False,0.469,65,2026-01-31
LEAD-00103,Shawn Alvarado,xsherman@wolf.com,"Holmes, Jimenez and Porter",Retail,demo_request,60.8,55.1,49,16,41.8,True,0.493,55,2026-02-06
LEAD-00104,Justin Kramer,jbrown@valentine.info,"Floyd, Rivera and Lozano",Media,paid_search,46.7,61.4,13,17,18.1,False,0.606,44,2026-01-30
LEAD-00105,Jennifer Rojas,ujefferson@baker.com,Barrera LLC,Retail,organic_search,12.1,38.2,26,15,21.9,False,0.06,45,2026-02-08
LEAD-00106,Tammy Cannon,osnyder@moreno.com,Brown Inc,Manufacturing,referral,33.0,40.9,16,10,13.4,False,0.314,1,2026-02-17
LEAD-00107,Jorge Perry,robertking@valentine.com,Jenkins PLC,Media,referral,64.5,34.6,43,4,16.2,True,0.556,2,2026-03-16
LEAD-00108,Chris Knox,griffinpatrick@miller.net,Winters and Sons,Education,organic_search,7.0,9.5,12,10,31.1,False,0.0,69,2026-03-08
